"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"86500099999","2020-01-01","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  75.6","10","  67.4","10","1008.6","10","009.2"," 7","  5.8","10","  8.3","10"," 11.1","999.9","  78.8","*","  70.2","*"," 0.30","G","999.9","010000"
"86500099999","2020-01-02","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  76.7","10","  63.2","10","1016.1","10","016.5"," 7","  9.8","10","  9.4","10"," 15.0","999.9","  81.5","*","  68.4","*"," 0.01","G","999.9","000000"
"86500099999","2020-01-03","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  75.2","10","  61.7","10","1020.1","10","020.4"," 7","  9.9","10","  7.8","10"," 12.0","999.9","  81.7","*","  66.2","*"," 0.04","G","999.9","010000"
"86500099999","2020-01-04","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  76.5","10","  62.2","10","1014.9","10","015.3"," 7"," 10.8","10","  5.9","10"," 11.1","999.9","  81.9","*","  64.4","*"," 0.00","G","999.9","000000"
"86500099999","2020-01-06","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  83.1","10","  63.5","10","1001.4","10","002.1"," 7"," 12.4","10","  8.8","10"," 12.0"," 19.0","  88.2","*","  74.3","*"," 0.00","A","999.9","000000"
"86500099999","2020-01-07","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  76.4","10","  52.4","10","1008.4","10","008.8"," 7"," 11.9","10","  3.5","10","  6.0","999.9","  85.1","*","  60.3","*"," 0.00","G","999.9","000000"
"86500099999","2020-01-08","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  80.7","10","  56.0","10","1010.4","10","011.0"," 7"," 12.1","10","  4.2","10","  7.0","999.9","  89.6","*","  61.7","*"," 0.00","G","999.9","000000"
"86500099999","2020-01-09","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  74.8"," 9","  67.4"," 9","1008.8"," 9","008.6"," 7","  8.1"," 9","  5.2"," 9"," 19.0","999.9","  79.7","*","  68.4","*"," 0.00","G","999.9","010010"
"86500099999","2020-01-10","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  77.1","10","  70.2","10","1008.6","10","009.0"," 7","  3.7","10","  3.8","10","  7.0","999.9","  83.3","*","  68.4","*"," 0.13","G","999.9","000000"
"86500099999","2020-01-11","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  80.4"," 8","  62.2"," 8","1011.7"," 8","012.4"," 7","  7.7"," 8","  3.5"," 8","  5.1","999.9","  88.7","*","  69.1","*"," 0.00","G","999.9","000000"
"86500099999","2020-01-13","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  75.1"," 9","  58.4"," 9","1017.3"," 9","018.0"," 6"," 10.4"," 9","  4.1"," 9","  7.0","999.9","  84.2","*","  60.8","*"," 0.00","A","999.9","000000"
"86500099999","2020-01-14","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  83.1","10","  63.2","10","1010.9","10","011.9"," 7"," 12.1","10","  6.3","10"," 11.1","999.9","  92.7","*","  67.5","*"," 0.00","G","999.9","000000"
"86500099999","2020-01-15","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  79.2","10","  71.2","10","1002.0","10","002.1"," 8","  6.6","10","  8.0","10"," 15.0","999.9","  84.2","*","  72.0","*"," 0.00","G","999.9","010010"
"86500099999","2020-01-17","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  70.0","10","  49.4","10","1021.3","10","021.5"," 7"," 11.5","10","  2.1","10","  7.0","999.9","  79.2","*","  52.9","*"," 0.00","A","999.9","000000"
"86500099999","2020-01-18","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  75.6"," 9","  53.8"," 9","1018.4"," 9","018.0"," 7"," 11.9"," 9","  3.5"," 9","  7.0","999.9","  83.3","*","  58.3","*"," 0.00","G","999.9","000000"
"86500099999","2020-01-20","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  84.8","10","  71.1","10","1009.8","10","010.7"," 7","  6.2","10","  2.7","10","  7.0","999.9","  93.2","*","  71.6","*"," 0.00","A","999.9","000000"
"86500099999","2020-01-21","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  81.0","10","  71.0","10","1008.8","10","009.5"," 7","  5.6","10","  4.6","10"," 11.1","999.9","  86.0","*","  71.6","*"," 0.00","G","999.9","000000"
"86500099999","2020-01-22","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  80.5","10","  65.3","10","1013.1","10","013.8"," 7","  8.8","10","  7.7","10"," 14.0","999.9","  86.0","*","  72.5","*"," 0.02","G","999.9","000000"
"86500099999","2020-01-24","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  79.1","10","  62.0","10","1012.5","10","013.2"," 7","  8.2","10","  3.8","10","  8.9","999.9","  89.6","*","  62.6","*"," 0.00","G","999.9","100000"
"86500099999","2020-01-25","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  84.0","10","  65.0","10","1006.0","10","007.0"," 7"," 11.6","10","  7.9","10"," 15.9","999.9","  92.3","*","  66.6","*"," 0.00","G","999.9","010000"
"86500099999","2020-01-27","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  75.9","10","  59.8","10","1012.4","10","012.9"," 7","  8.5","10","  6.8","10"," 13.0","999.9","  80.2","*","  68.4","*"," 0.00","A","999.9","000000"
"86500099999","2020-01-28","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  72.6","10","  57.3","10","1013.3","10","013.6"," 7","  7.6","10","  4.4","10","  9.9","999.9","  82.8","*","  52.9","*"," 0.00","G","999.9","000000"
"86500099999","2020-01-29","-33.2166667","-54.3833333","46.0","TREINTA Y TRES, UY","  78.7","10","  67.8","10","1008.2","10","008.8"," 7","  6.9","10","  2.2","10","  6.0","999.9","  87.3","*","  67.5","*"," 0.00","G","999.9","010010"
