"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"03716099999","2020-01-01","51.404811","-3.43575","49.68","ST ATHAN, UK","  43.8","24","  42.4","24","1027.9","24","021.8","24","  3.3","24","  4.6","24","  8.0","999.9","  45.7","*","  39.7"," "," 0.02","E","999.9","110000"
"03716099999","2020-01-02","51.404811","-3.43575","49.68","ST ATHAN, UK","  48.1","24","  44.5","24","1018.2","24","012.1","24"," 21.1","24","  7.1","24"," 15.9","999.9","  51.8","*","  43.7"," "," 0.03","G","999.9","010000"
"03716099999","2020-01-03","51.404811","-3.43575","49.68","ST ATHAN, UK","  45.8","24","  41.1","24","1023.1","24","017.1","24"," 15.4","24","  8.9","24"," 15.9","999.9","  50.0","*","  40.1","*"," 0.43","G","999.9","010000"
"03716099999","2020-01-04","51.404811","-3.43575","49.68","ST ATHAN, UK","  45.6","24","  42.0","24","1034.9","24","028.8","24"," 18.3","24","  8.2","24"," 12.0","999.9","  47.7","*","  38.7"," "," 0.00","G","999.9","010000"
"03716099999","2020-01-05","51.404811","-3.43575","49.68","ST ATHAN, UK","  46.3","24","  42.8","24","1032.4","24","026.2","24"," 20.8","24","  8.4","24"," 12.0","999.9","  48.2","*","  44.6"," "," 0.05","G","999.9","010000"
"03716099999","2020-01-06","51.404811","-3.43575","49.68","ST ATHAN, UK","  47.4","24","  43.3","24","1020.3","24","014.2","24"," 15.9","24","  9.3","24"," 16.9"," 27.0","  50.0","*","  45.3"," "," 0.02","G","999.9","010000"
"03716099999","2020-01-07","51.404811","-3.43575","49.68","ST ATHAN, UK","  50.6","24","  47.8","24","1020.1","24","014.1","24"," 14.4","24","  9.7","24"," 19.0"," 28.0","  54.7","*","  45.0"," "," 0.10","G","999.9","010000"
"03716099999","2020-01-08","51.404811","-3.43575","49.68","ST ATHAN, UK","  49.0","24","  47.6","24","1019.8","24","013.8","24","  3.6","24","  9.0","24"," 15.9"," 26.0","  51.3","*","  46.4","*"," 0.03","G","999.9","010000"
"03716099999","2020-01-09","51.404811","-3.43575","49.68","ST ATHAN, UK","  47.6","24","  43.6","24","1005.8","24","999.9","24"," 19.3","24","  9.4","24"," 20.0"," 33.0","  54.5","*","  42.3","*"," 0.40","G","999.9","010000"
"03716099999","2020-01-10","51.404811","-3.43575","49.68","ST ATHAN, UK","  44.1","24","  38.5","24","1024.0","24","017.9","24"," 21.5","24","  8.0","24"," 14.0","999.9","  48.2","*","  39.2","*"," 0.60","G","999.9","000000"
"03716099999","2020-01-11","51.404811","-3.43575","49.68","ST ATHAN, UK","  50.1","22","  45.3","22","1021.6","22","015.6","22"," 20.0","22"," 14.6","22"," 16.9"," 28.0","  51.6"," ","  45.7"," "," 0.00","G","999.9","010000"
