"STATION","DATE","LATITUDE","LONGITUDE","ELEVATION","NAME","TEMP","TEMP_ATTRIBUTES","DEWP","DEWP_ATTRIBUTES","SLP","SLP_ATTRIBUTES","STP","STP_ATTRIBUTES","VISIB","VISIB_ATTRIBUTES","WDSP","WDSP_ATTRIBUTES","MXSPD","GUST","MAX","MAX_ATTRIBUTES","MIN","MIN_ATTRIBUTES","PRCP","PRCP_ATTRIBUTES","SNDP","FRSHTT"
"71035899999","2020-01-02","65.210556","-123.435833","218.0","DELINE, CA","  -4.0","11","  -8.7","11","1011.1","11","999.9"," 0","  3.1","11","  9.4","11"," 11.1"," 15.9","9999.9"," ","9999.9"," ","99.99"," ","999.9","001000"
"71035899999","2020-01-03","65.210556","-123.435833","218.0","DELINE, CA","  -7.3","11"," -11.9","11","1017.1","11","999.9"," 0","  3.7","11","  4.9","11","  8.9","999.9","  -4.0","*"," -11.2","*","99.99"," ","999.9","001000"
"71035899999","2020-01-04","65.210556","-123.435833","218.0","DELINE, CA"," -15.0","11"," -20.4","11","1016.3","11","999.9"," 0","  7.0","11","  7.4","11","  8.9","999.9"," -13.0","*"," -16.6","*","99.99"," ","999.9","001000"
"71035899999","2020-01-05","65.210556","-123.435833","218.0","DELINE, CA"," -21.0"," 7"," -27.1"," 7","1019.2"," 7","999.9"," 0"," 35.7"," 7","  7.5"," 7","  8.9","999.9"," -14.8","*"," -25.6","*","99.99"," ","999.9","001000"
"71035899999","2020-01-06","65.210556","-123.435833","218.0","DELINE, CA"," -25.6","10"," -32.1","10","1026.8","10","999.9"," 0"," 32.0","10","  8.1","10","  8.9","999.9"," -23.8","*"," -29.2","*","99.99"," ","999.9","001000"
"71035899999","2020-01-07","65.210556","-123.435833","218.0","DELINE, CA"," -29.0","11"," -34.9","11","1027.5","11","999.9"," 0"," 33.4","10","  7.8","10","  8.9","999.9"," -23.8","*"," -31.0","*","99.99"," ","999.9","001000"
"71035899999","2020-01-08","65.210556","-123.435833","218.0","DELINE, CA"," -25.8","11"," -32.0","11","1026.9","11","999.9"," 0"," 15.4","11","  9.6","11"," 11.1"," 15.9"," -23.8","*"," -29.2","*"," 0.00","I","999.9","000000"
"71035899999","2020-01-09","65.210556","-123.435833","218.0","DELINE, CA"," -29.0","11"," -35.6","11","1032.6","11","999.9"," 0"," 19.3","11","  6.4","11","  8.9","999.9"," -22.0","*"," -32.8","*"," 0.00","I","999.9","000000"
"71035899999","2020-01-10","65.210556","-123.435833","218.0","DELINE, CA"," -17.4","11"," -23.3","11","1024.0","11","999.9"," 0","  7.6","11","  7.4","11"," 13.0"," 22.0"," -13.0","*"," -31.0","*"," 0.00","I","999.9","000000"
"71035899999","2020-01-11","65.210556","-123.435833","218.0","DELINE, CA"," -27.0"," 9"," -32.4"," 9","1029.3"," 9","999.9"," 0"," 29.2"," 9","  5.1"," 9","  7.0","999.9"," -16.6","*"," -36.4","*"," 0.00","I","999.9","000000"
"71035899999","2020-01-12","65.210556","-123.435833","218.0","DELINE, CA"," -18.7"," 7"," -24.6"," 7","1033.8"," 7","999.9"," 0"," 32.9"," 7","  7.6"," 7"," 12.0","999.9"," -16.6","*"," -23.8","*","99.99"," ","999.9","001000"
"71035899999","2020-01-13","65.210556","-123.435833","218.0","DELINE, CA"," -27.4"," 7"," -33.1"," 7","1037.1"," 7","999.9"," 0"," 40.0"," 7","  2.7"," 7","  4.1","999.9"," -23.8","*"," -34.6","*"," 0.00","I","999.9","000000"
